Appendix S1. Occurrence data for the 73 sarcophagid species used in this study . Empty cells are missing data (i.e. were absent in specimens labels or method description).,,,,,,,,,,,,,,,,,,,,,,
Country,State_or_Province,Municipality,Locality,Latitude,Longitude,Species_name,,Method (Collecting information),Determiner,Collector,Data,Reference,Remarks,Original genus,Original species,Modified,Source of data,Qualifier ,Uncertanty (m),Coordinate validity,Equal longitude and latitude ,Plain zeros 
Brasil,RJ,Angra dos Reis, ,-22.98678,-44.35299,Engelimyia inops,, ,H.S. Lopes,H.S. Lopes,10.v.1971, , ,Engelimyia,inops,no,MZUSP,Poor,16.21,TRUE,TRUE,TRUE
Brasil,ES,Itaguaçu, ,-19.72844,-40.86457,Engelimyia inops,, ,H.S. Lopes,P.C. Elias,x.1970, , ,Engelimyia,inops,no,MZUSP,Poor,13.05,TRUE,TRUE,TRUE
Brasil,PR,Castro, ,-24.79961,-49.84167,Helicobia aurescens,, ,H.S. Lopes,H.S. Lopes,9.1.1972, , ,Helicobia,aurescens,no,MZUSP,Poor,28.39,TRUE,TRUE,TRUE
Brasil,SC,Lages, ,-28.02012,-50.34086,Helicobia aurescens,, ,H.S. Lopes,H.S. Lopes,13.i.1972, , ,Helicobia,aurescens,no,MZUSP,Poor,28.94,TRUE,TRUE,TRUE
Brasil,RJ,Nova Friburgo,Mury,-22.2819,-42.5311,Helicobia aurescens,, ,H.S. Lopes,Gred & Guimarães,12.xi.1970, , ,Helicobia,aurescens,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,PR, ,Rio Negro,-26.1058,-49.7975,Helicobia aurescens,, ,H.S. Lopes,H.S. Lopes,12.i.1972, , ,Helicobia,aurescens,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,RS,Gramado, ,-29.38598,-50.89746,Helicobia aurescens,, ,H.S. Lopes,H.S. Lopes,18.i.1972, , ,Helicobia,aurescens,no,MZUSP,Poor,8.7,TRUE,TRUE,TRUE
Brasil,SP,Itaquaquecetuba, ,-23.46146,-46.33388,Helicobia aurescens,, ,C.H.T.T.,H.S. Lopes,13.ii, ,Parátipo ; on foliage,Helicobia,aurescens,no,MZUSP,Poor,5.13,TRUE,TRUE,TRUE
Brasil,RJ, ,Restinga de Marambaia,-23.0931,-44.0036,Helicobia aurescens,, ,H.S. Lopes,H.S. Lopes,2.x.1936, ,62,Helicobia,aurescens,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,SP,São Paulo,Ipiranga,-23.5814,-46.6098,Helicobia aurescens,, ,H.S. Lopes,L.T.S.,19.ii.1938, , ,Helicobia,aurescens,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,SC,Nova Teutônia, ,-27.18333,-52.38333,Helicobia aurescens,, ,H.S. Lopes,Fritz Plaumann,iv.1971, ,300-500m,Helicobia,aurescens,no,MZUSP,Excellent, ,TRUE,TRUE,TRUE
Brasil,ES,Baixo Guandu, ,-19.56988,-40.98284,Helicobia aurescens,, ,H.S. Lopes,P.C. Elias,ix.1970, , ,Helicobia,aurescens,no,MZUSP,Poor,17.08,TRUE,TRUE,TRUE
Brasil,RS,Pelotas, ,-31.58117,-52.34116,Helicobia aurescens,, ,H.S. Lopes,J. Lucia Mantovani - Biezanko,25.iii.1961, , ,Helicobia,aurescens,no,MZUSP,Poor,22.64,TRUE,TRUE,TRUE
Brasil,SP,Barueri, ,-23.50528,-46.87725,Helicobia aurescens,, ,H.S. Lopes,K. Lenkoi,30.i, , ,Helicobia,aurescens,no,MZUSP,Poor,4.57,TRUE,TRUE,TRUE
Brasil,PR,Boa Vista da Aparecida,Posto Florestal Salto Caxias,-25.43492,-53.42228,Helicobia aurescens,, ,C.A. Mello-Patiu,EDG Soares,22-29.xi.2004, , ,Helicobia,aurescens,no,MZUSP,Poor,9.03,TRUE,TRUE,TRUE
Brasil,RJ,Rio de Janeiro,Grajaú,-22.92322,-43.45093,Blaesoxipha (Gigantotheca) plinthopyga,, ,H.S. Lopes,H.S. Lopes,5.xi.1972, , ,Blaesoxipha,plinthopyga,no,MZUSP,Poor,19.55,TRUE,TRUE,TRUE
Brasil,RJ,Rio de Janeiro,Botafogo,-22.9512,-43.2031,Blaesoxipha (Gigantotheca) plinthopyga,, ,J.H. Guimarães,Heraldo Travassos,xii.1938, ,21,Blaesoxipha,plinthopyga,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,SP,Campos do Jordão, ,-22.70173,-45.53307,Microcerella analis,, ,J.H. Guimarães,Lopes & Izecksohn,25-31.i.1959, ,1600m,Microcerella,analis,no,MZUSP,Poor,9.62,TRUE,TRUE,TRUE
Brasil,SP,São Paulo,Ipiranga,-23.5814,-46.6098,Microcerella halli,, ,H.S. Lopes,Spitz,ix.1925, , ,Microcerella,halli,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,SP, ,Birigui,-21.3,-50.3167,Microcerella halli,, ,H.S. Lopes, , , , ,Microcerella,halli,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,SP,São Paulo,Cantareira,-23.4667,-46.6333,Microcerella halli,, ,H.S. Lopes, , , , ,Microcerella,halli,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,SP,São Paulo, ,-23.65008,-46.64811,Microcerella halli,, ,H.S. Lopes, , , , ,Microcerella,halli,no,MZUSP,Poor,22,TRUE,TRUE,TRUE
Brasil,SP,São Paulo,Ipiranga,-23.5814,-46.6098,Helicobia morionella,, ,H.S. Lopes,L.T.F.,7.xii.1938, , ,Helicobia,morionella,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,RJ,Angra dos Reis, ,-22.98678,-44.35299,Helicobia pilifera,, ,H.S. Lopes,H.S. Lopes,1.iv.1972, , ,Helicobia,pilifera,no,MZUSP,Poor,16.21,TRUE,TRUE,TRUE
Brasil,SC,Nova Teutônia, ,-27.18333,-52.38333,Microcerella halli,, ,H.S. Lopes,Fritz Plaumann,vi.1970, ,300-500m,Microcerella,halli,no,MZUSP,Excellent, ,TRUE,TRUE,TRUE
Brasil,SP,Cubatão, ,-23.8659,-46.4082,Oxysarcodexia admixta,, ,H.S. Lopes, , , , ,Sarcophaga,admixta,yes,MZUSP,Poor,6.74,TRUE,TRUE,TRUE
Brasil,RJ,Rio de Janeiro,Jardim Botânico,-22.92322,-43.45093,Oxysarcodexia admixta,, ,H.S. Lopes,H.S. Lopes,vi.1935, , ,Sarcophaga,admixta,yes,MZUSP,Poor,19.55,TRUE,TRUE,TRUE
Brasil,SP,Itapatininga,Floresta Estadual,-23.64548,-48.12333,Oxysarcodexia admixta,, ,H.S. Lopes,Rabello,xii.1965, , ,Oxysarcodexia,admixta,no,MZUSP,Poor,23.87,TRUE,TRUE,TRUE
Brasil,GO,Cabeceiras,Lagoa Formosa,-15.7956,-46.9267,Oxysarcodexia admixta,, ,H.S. Lopes, ,26-28.x.1964, ,Exp. Depto. Zool.,Oxysarcodexia,admixta,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,SP,Salesópolis,Estação Biológica da Boracéia,-23.5802,-45.84259,Oxysarcodexia admixta,, ,H.S. Lopes,"Trav, Trav. Filho & Rabello col.",15.i.1950, ,850m,Oxysarcodexia,admixta,no,MZUSP,Poor,11.63,TRUE,TRUE,TRUE
Brasil,SP,Bebedouro,Andes,-20.94045,-48.51075,Oxysarcodexia admixta,, ,H.S. Lopes,M. Carrera,ii.1955, , ,Oxysarcodexia,admixta,no,MZUSP,Poor,14.75,TRUE,TRUE,TRUE
Brasil,SC,Florianópolis, ,-27.5779,-48.50817,Oxysarcodexia admixta,, ,H.S. Lopes,Casemiro,vii.1960, , ,Oxysarcodexia,admixta,no,MZUSP,Poor,14.66,TRUE,TRUE,TRUE
Brasil,SP,Barueri, ,-23.50528,-46.87725,Oxysarcodexia admixta,, ,H.S. Lopes,K. Lenkoi,4.vii.1955, , ,Oxysarcodexia,admixta,no,MZUSP,Poor,4.57,TRUE,TRUE,TRUE
Brasil,RJ,Nova Friburgo,Mury,-22.2819,-42.5311,Oxysarcodexia admixta,, ,H.S. Lopes,Gred & Guimarães,iv.1964, , ,Oxysarcodexia,admixta,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
Brasil,RJ,Nova Iguaçu,"Reserva Biológica do Tinguá, Trilha 1",-22.68743,-43.50189,Engelimyia inops,,Moericke,C.C. Souza,S.T.P. Amarante e eq.col,6-9.iii.2002, , ,Engelimyia,inops,no,MZUSP,Poor,12.86,TRUE,TRUE,TRUE
Brasil,ES,Baixo Guandu, ,-19.56988,-40.98284,Oxysarcodexia amorosa,, ,H.S. Lopes,P.C. Elias,ix.1970, , ,Oxysarcodexia,amorosa,no,MZUSP,Poor,17.08,TRUE,TRUE,TRUE
Brasil,ES,Itaguaçu, ,-19.72844,-40.86457,Oxysarcodexia amorosa,, ,H.S. Lopes,P.C. Elias,x.1970, , ,Oxysarcodexia,amorosa,no,MZUSP,Poor,13.05,TRUE,TRUE,TRUE
Brasil,TO,Tocantinópolis, ,-6.25715,-47.53758,Oxysarcodexia amorosa,, ,H.S. Lopes,L. Gomes,ii.1965, , ,Oxysarcodexia,amorosa,no,MZUSP,Poor,18.52,TRUE,TRUE,TRUE
Brasil,ES,Colatina,Itapina,-19.48626,-40.65559,Oxysarcodexia amorosa,, ,H.S. Lopes,P.C. Elias,xi.1970, , ,Oxysarcodexia,amorosa,no,MZUSP,Poor,21.24,TRUE,TRUE,TRUE
Brasil,SP,Cubatão, ,-23.8659,-46.4082,Oxysarcodexia angrensis,, ,H.S. Lopes,J.Lane,iii.1945, , ,Oxysarcodexia,angrensis,no,MZUSP,Poor,6.74,TRUE,TRUE,TRUE
Brasil,PA,Oriximiná,Boca do Cuminá-Mirim,0.25509,-57.14992,Oxysarcodexia amorosa,, ,H.S. Lopes, ,19-26.i.1968, ,Exp. Perm. Amaz.,Oxysarcodexia,amorosa,no,MZUSP,Poor,185.07,TRUE,TRUE,TRUE
Brasil,GO,Jataí, ,-17.90976,-51.73198,Oxysarcodexia angrensis,, ,H.S. Lopes,Carrera,i.1955, , ,Oxysarcodexia,angrensis,no,MZUSP,Poor,47.79,TRUE,TRUE,TRUE
Brasil,SP,Boa Esperança do Sul,Fazenda Itaquerê,-21.93501,-48.46359,Oxysarcodexia angrensis,, ,H.S. Lopes,K. Lenkoi,26.xii.1964, , ,Oxysarcodexia,angrensis,no,MZUSP,Poor,14.83,TRUE,TRUE,TRUE
Brasil,SP,Bebedouro,Andes,-20.94045,-48.51075,Oxysarcodexia angrensis,, ,H.S. Lopes,M. Carrera,ii.1955, , ,Oxysarcodexia,angrensis,no,MZUSP,Poor,14.75,TRUE,TRUE,TRUE
Brasil,ES,Baixo Guandu, ,-19.56988,-40.98284,Helicobia rapax,, ,H.S. Lopes,P.C. Elias,ix.1970, , ,Helicobia,rapax,no,MZUSP,Poor,17.08,TRUE,TRUE,TRUE
Brasil,RJ,Angra dos Reis, ,-22.98678,-44.35299,Helicobia rapax,, ,H.S. Lopes,H.S. Lopes,12.xii.1971, , ,Helicobia,rapax,no,MZUSP,Poor,16.21,TRUE,TRUE,TRUE
Brasil,SP,Boraceia,Estação Biológica da Boracéia,-22.17015,-48.78833,Lipoptilocnema crispina,, ,H.S. Lopes, ,29.ii.1968, , ,Lipoptilocnema,crispina,no,MZUSP,Poor,6.23,TRUE,TRUE,TRUE
Brasil,RJ,Nova Friburgo,Mury,-22.2819,-42.5311,Lipoptilocnema crispina,, ,H.S. Lopes,Gred & Guimarães,1-31.i.1965, , ,Lipoptilocnema,crispina,no,MZUSP,Poor, ,TRUE,TRUE,TRUE
